1	Ace	920	food	0	37.56037	127.0206026	2017-01-27	19:19:12
2	Adela	626	electronics	0	37.48525	127.033942	2017-06-11	10:17:28
3	Agatha	758	bedding	3	37.5580798	126.945857	2017-05-11	12:25:38
4	Aggie	68	baby	3	37.497942	126.941574	2017-12-21	20:55:32
5	Aida	379	bedding	0	37.65318	126.941574	2017-10-10	13:29:34
6	Ailish	762	others	2	37.48525	126.896642	2017-12-14	7:56:56
7	Aimee	170	electronics	1	37.5022335	127.005907	2017-12-09	18:21:45
8	Alice	739	electronics	4	37.560965	126.982662	2017-10-01	13:19:47
9	Alika	470	car	1	37.54724	127.001921	2017-07-07	2:56:50
10	Allie	579	baby	0	37.5709411	127.007765	2017-08-10	13:36:37
11	Amanda	853	toy	1	37.492975	127.036936	2017-05-13	20:46:11
12	Andra	150	car	0	37.566056	127.069236	2017-06-22	7:29:43
13	Angel	91	sport	0	37.5164064	127.048941	2017-06-18	16:14:44
14	Angelica	385	bedding	0	37.485381	127.013814	2017-11-30	17:34:48
15	Anika	602	electronics	4	37.525776	127.02562	2017-02-13	9:31:24
16	Anna	351	bedding	2	37.504479	126.9706483	2017-07-28	6:50:50
17	Annie	302	baby	1	37.56037	126.963418	2017-08-27	23:33:22
18	Barbara	623	laundry	1	37.65318	127.0343875	2017-07-26	21:13:41
19	Barbie	783	cosmetic	2	37.487035	127.073774	2017-08-24	7:44:24
20	Becky	982	toy	1	37.487035	126.896642	2017-06-19	5:33:39
21	Bella	142	cosmetic	0	37.58208	127.073202	2017-10-11	20:53:05
22	Belle	524	clothing	0	37.493601	127.046918	2017-07-28	7:10:16
23	Bessie	322	cosmetic	0	37.504479	126.981633	2017-05-31	19:30:26
24	Biana	503	clothing	4	37.570169	127.033942	2017-08-26	23:21:59
25	Bianca	232	sport	0	37.493366	126.894906	2017-12-05	19:39:56
26	Bibiane	508	laundry	2	37.477117	126.956083	2017-12-18	5:27:36
27	Bonita	995	others	0	37.626394	126.896642	2017-06-03	22:05:57
28	Calla	571	cook	1	37.48525	127.0090211	2017-10-18	8:24:09
29	Callia	705	bedding	0	37.554102	126.992617	2017-07-19	6:26:38
30	Camilla	842	car	1	37.5545168	127.038819	2017-01-18	10:06:06
31	Cara	879	cook	2	37.48121	127.084032	2017-10-30	8:55:58
32	Carmen	349	cosmetic	0	37.588792	127.007688	2017-08-02	4:04:31
33	Casey	342	sanitary	2	37.494569	127.024914	2017-06-27	7:30:17
34	Catherine	585	bedding	4	37.484269	127.033942	2017-05-29	13:36:20
35	Celina	74	clothing	2	37.5545168	126.913282	2017-02-11	9:44:21
36	Chloe	962	pets	0	37.637979	127.038819	2017-06-06	8:44:18
37	Cindy	708	food	0	37.508562	126.983099	2017-05-21	6:21:27
38	Clara	444	cook	2	37.565102	127.094672	2017-10-13	18:37:09
39	Connie	382	car	0	37.504479	126.929676	2017-05-15	9:54:09
40	Crystal	557	cosmetic	1	37.610069	127.0206026	2017-09-23	1:12:09
41	Cutie	927	car	0	37.575838	127.016274	2017-07-30	11:55:24
42	Daria	548	cosmetic	4	37.476559	127.024914	2017-12-13	16:20:38
43	Doris	665	laundry	0	37.476559	127.063446	2017-06-23	4:58:39
44	Dorothy	843	clothing	0	37.496683	126.981633	2017-04-18	14:27:19
45	Edeline	241	office	1	37.504479	126.852796	2017-12-12	9:47:14
46	Eden	325	electronics	4	37.603185	126.985472	2017-02-06	10:47:25
47	Eilis	72	electronics	1	37.560965	127.026132	2017-06-08	21:27:48
48	Eldora	962	pets	1	37.588374	127.0049151	2017-05-10	14:49:55
49	Elisha	802	clothing	1	37.4874685	127.048941	2017-07-10	13:53:37
50	Elizabeth	978	baby	0	37.492467	126.950134	2017-12-30	12:15:42
51	Elle	965	cook	2	37.5495753	126.896642	2017-12-14	18:44:38
52	Elsa	108	baby	2	37.600869	127.047663	2017-10-14	6:30:40
53	Esther	566	sanitary	0	37.492467	126.929676	2017-07-27	13:06:58
54	Eva	709	clothing	2	37.565102	126.891336	2017-07-31	21:15:24
55	Felice	283	car	0	37.610069	126.929676	2017-09-10	6:57:27
56	Filia	668	others	1	37.5495753	127.0343875	2017-08-18	14:16:31
57	Floria	743	sanitary	3	37.493601	127.043655	2017-06-27	13:00:12
58	Gemma	250	clothing	1	37.588792	127.005032	2017-07-24	8:38:59
59	Gloria	358	sanitary	1	37.574636	127.103822	2017-10-19	1:09:07
60	Grace	807	car	1	37.54724	127.048941	2017-05-29	23:48:29
61	Harmony	267	sport	3	37.603185	126.97358	2017-07-23	1:43:32
62	Heba	163	electronics	2	37.484269	127.1011099	2017-05-06	14:39:16
63	Helen	995	others	1	37.508562	127.036936	2017-06-14	13:56:47
64	Helia	561	cosmetic	0	37.575838	126.891336	2017-09-17	10:26:15
65	Hera	465	bedding	0	37.5645	127.015677	2017-04-23	10:32:01
66	Iris	122	sanitary	1	37.48525	126.929676	2017-07-08	19:32:36
67	Isabel	990	office	0	37.5657037	127.044746	2017-08-23	14:43:44
68	Isadora	736	food	2	37.508562	127.046918	2017-08-12	6:43:55
69	Isis	689	clothing	2	37.504479	127.025215	2017-08-08	21:35:00
70	Jane	84	cook	1	37.5340278	127.016274	2017-05-09	13:51:19
71	Jasmine	651	car	1	37.5022335	127.024914	2017-05-20	21:56:44
72	Jennie-	364	toy	2	37.537145	127.024914	2017-09-29	10:51:10
73	Jerry	582	sanitary	1	37.558541	127.030084	2017-08-20	18:48:23
74	Jessica	41	others	4	37.600869	126.9019901	2017-03-21	19:22:48
75	Jessie	153	bedding	0	37.619046	126.891336	2017-06-09	19:50:27
76	Johanna	955	food	1	37.58208	127.02562	2017-12-12	6:15:59
77	Juliana	754	bedding	1	37.67026	126.9706483	2017-05-20	14:24:52
78	Juliet	284	cosmetic	3	37.58208	126.9943172	2017-07-01	22:43:15
79	Kara	854	clothing	2	37.484269	126.901472	2017-05-28	21:04:02
80	Karis	858	pets	2	37.567418	127.055974	2017-02-06	6:21:10
81	Kassia	123	baby	1	37.5645	127.026132	2017-08-11	6:50:50
82	Kate	33	others	1	37.610069	127.02562	2017-04-24	1:49:18
83	Kelley	753	clothing	0	37.626394	126.9768616	2017-07-18	14:29:02
84	Kyra	45	others	1	37.525776	126.9706483	2017-09-14	6:07:21
85	Lara	712	office	0	37.59272	126.942308	2017-05-01	9:49:41
86	Lavina	417	car	1	37.5545168	127.036936	2017-07-31	23:57:42
87	Lidia	597	bedding	0	37.576556	126.929676	2017-09-12	13:49:44
88	Lily	146	sanitary	1	37.5495753	126.942308	2017-07-13	10:07:49
89	Linda	609	car	1	37.5709411	127.027621	2017-06-15	13:31:18
90	Lisa	126	pets	2	37.6482236	127.02562	2017-12-27	19:20:38
91	Lottie	344	office	0	37.504479	127.0090211	2017-06-07	1:09:50
92	Lucia	752	bedding	1	37.626394	126.971987	2017-08-19	22:37:03
93	Lucy	375	clothing	1	37.610069	126.963418	2017-10-01	18:41:46
94	Luna	693	cook	1	37.484269	127.010252	2017-07-10	19:38:38
95	Madonna	508	laundry	0	37.476559	127.033942	2017-08-26	17:41:51
96	Maggie	272	car	0	37.5657037	126.985472	2017-07-24	6:45:56
97	Malissa	739	electronics	1	37.603185	126.891336	2017-06-19	1:22:48
98	Margaret	29	office	2	37.497942	127.030084	2017-03-03	20:53:48
99	Mary	483	electronics	3	37.65318	127.1011099	2017-09-03	8:08:01
100	Mathilda	384	others	0	37.487519	127.02562	2017-09-08	5:57:16
101	Melina	382	car	4	37.49184	127.007688	2017-08-04	8:09:45
102	Meriel	502	pets	1	37.497942	127.016544	2017-12-13	20:41:25
103	Minnie	881	office	1	37.556761	127.055393	2017-06-17	16:56:47
104	Miranda	657	laundry	3	37.540389	126.952712	2017-07-30	3:51:24
105	Molly	177	baby	1	37.5132357	127.007765	2017-05-02	19:11:25
106	Mulan	965	cook	1	37.4874685	127.084032	2017-09-26	23:04:42
107	Nana	410	others	1	37.497942	127.0049151	2017-07-24	21:25:55
108	Nara	544	cosmetic	1	37.566056	127.086135	2017-06-22	10:42:14
109	Olive	217	electronics	1	37.526144	126.981633	2017-05-03	7:44:59
110	Pamela	376	food	2	37.566056	126.913282	2017-06-06	12:29:14
111	Peppi	385	bedding	0	37.537145	126.972955	2017-06-24	8:57:07
112	Phila	445	others	4	37.497942	127.018698	2017-06-23	10:32:27
113	Pinky	892	electronics	1	37.48121	127.044746	2017-12-22	14:01:58
114	Raina	753	clothing	1	37.535144	127.033942	2017-09-07	23:18:32
115	Remy	380	cosmetic	4	37.580016	127.02562	2017-10-19	23:48:29
116	Sally	695	others	0	37.637979	126.929676	2017-12-26	19:29:34
117	Sandy	789	bedding	2	37.50081	126.891336	2017-06-24	9:12:32
118	Sarah	422	laundry	2	37.6482236	126.918833	2017-07-01	10:27:50
119	Sasha	830	clothing	1	37.613251	126.929676	2017-01-04	7:10:34
120	Scarlet	533	electronics	2	37.544569	126.981633	2017-07-03	18:55:09
121	Selina	11	electronics	1	37.544569	126.9255336	2017-12-07	6:48:32
122	Serena	300	electronics	4	37.558541	127.1011099	2017-01-20	11:41:25
123	Shaina	530	sanitary	3	37.660566	126.921184	2017-06-07	22:57:30
124	Silky	199	clothing	2	37.537145	126.992617	2017-10-31	8:44:10
125	Sonia	396	pets	0	37.48525	127.12419	2017-01-09	9:47:57
126	Sophie	85	cosmetic	2	37.484269	126.9706483	2017-11-08	13:57:48
127	Stella	407	cosmetic	2	37.5132357	126.913282	2017-03-06	14:55:24
128	Sweetie	908	sanitary	1	37.476559	127.016544	2017-05-24	7:08:41
129	Sylvia	519	cook	2	37.50081	127.030084	2017-12-28	11:36:14
130	Terra	29	office	3	37.588792	126.97358	2017-08-02	13:58:05
131	Tess	195	cosmetic	0	37.58208	127.1011099	2017-06-27	9:23:20
132	Trisha	188	toy	2	37.487519	126.9255336	2017-09-29	8:12:55
133	Vanessa	66	clothing	1	37.508562	126.942308	2017-01-26	2:43:52
134	Velika	793	others	0	37.5164064	126.963418	2017-12-12	9:08:47
135	Vera	614	car	0	37.566056	127.128354	2017-08-20	10:11:51
136	Veronica	548	cosmetic	0	37.566056	126.929676	2017-05-21	18:20:10
137	Victoria	511	cosmetic	1	37.545097	126.97358	2017-09-15	16:50:27
138	Violet	701	electronics	1	37.483869	126.952712	2017-06-15	9:32:24
